Index,Token
0,<PAD>
1,<SOS>
2,<EOS>
3,<UNK>
4,a
5,and
6,of
7,the
8,.
9,bathroom
10,with
11,kitchen
12,on
13,","
14,two
15,in
16,white
17,sink
18,beach
19,an
20,is
21,people
22,at
23,man
24,by
25,toilet
26,near
27,car
28,that
29,floor
30,bicycle
31,has
32,standing
33,bike
34,woman
35,walking
36,clean
37,his
38,window
39,black
40,red
41,tile
42,cat
43,riding
44,balls
45,down
46,out
47,to
48,empty
49,bench
50,brown
51,around
52,counter
53,sitting
54,person
55,front
56,group
57,next
58,cabinet
59,phone
60,while
61,cabinets
62,stop
63,top
64,sits
65,street
66,table
67,game
68,rides
69,young
70,large
71,girl
72,are
73,food
74,covered
75,her
76,mirror
77,playing
78,blue
79,one
80,open
81,bus
82,laying
83,bed
84,boy
85,water
86,surf
87,-
88,their
89,small
90,arms
91,other
92,night
93,area
94,up
95,painted
96,for
97,holding
98,umbrella
99,it
100,family
101,board
102,cats
103,as
104,sleeping
105,fire
106,hydrant
107,over
108,shower
109,view
110,silver
111,parked
112,toilette
113,'s
114,arm
115,wall
116,frisbee
117,under
118,van
119,surfboard
120,ocean
121,old
122,bicycles
123,mountain
124,some
125,sit
126,photo
127,many
128,lot
129,refrigerator
130,skiers
131,modern
132,oven
133,carrying
134,back
135,picture
136,appliances
137,stove
138,croquet
139,field
140,dog
141,side
142,very
143,road
144,sign
145,parking
146,face
147,building
148,there
149,being
150,sinks
151,three
152,past
153,city
154,hotel
155,tub
156,restaurant
157,decorated
158,house
159,each
160,above
161,wood
162,stainless
163,steel
164,tiled
165,filled
166,green
167,bathtub
168,cars
169,talking
170,towels
171,cell
172,public
173,walk
174,trick
175,couple
176,colorful
177,room
178,door
179,waiting
180,vanity
181,baby
182,several
183,outside
184,lighting
185,against
186,light
187,women
188,from
189,into
190,glass
191,dogs
192,ground
193,looking
194,skate
195,walks
196,windows
197,bikes
198,set
199,preparing
200,older
201,showing
202,lit
203,skateboard
204,leaning
205,this
206,yellow
207,doing
208,wearing
209,all
210,doors
211,crossing
212,double
213,surfer
214, 
215,wave
216,wooden
217,contains
218,across
219,dishes
220,pink
221,park
222,hand
223,corner
224,walls
225,stand
226,curtain
227,child
228,fashioned
229,scene
230,working
231,through
232,snow
233,skateboarder
234,teeth
235,lady
236,holds
237,ramp
238,countertop
239,middle
240,dressed
241,together
242,boat
243,snowy
244,home
245,island
246,hanging
247,microwave
248,inside
249,stands
250,raft
251,shown
252,cooking
253,toothbrushes
254,orange
255,bear
256,hat
257,ski
258,bowl
259,multiple
260,fancy
261,dishwasher
262,beside
263,motorcycle
264,restroom
265,drawer
266,taking
267,cake
268,laptop
269,be
270,off
271,about
272,four
273,lift
274,granite
275,background
276,dirty
277,well
278,including
279,tiles
280,seat
281,towel
282,been
283,lots
284,way
285,brushing
286,behind
287,tv
288,teddy
289,intersection
290,bedroom
291,full
292,surrounded
293,bowls
294,sidewalk
295,banana
296,items
297,pots
298,lights
299,onto
300,driving
301,posing
302,asian
303,crosswalk
304,something
305,having
306,meter
307,big
308,nice
309,grass
310,"
"
311,head
312,little
313,guy
314,computer
315,featuring
316,different
317,dairy
318,queen
319,pans
320,few
321,antique
322,hood
323,couch
324,truck
325,curtains
326,leans
327,bath
328,reading
329,shirt
330,signs
331,chef
332,fridge
333,soup
334,store
335,mirrors
336,cupboards
337,reflection
338,he
339,kissing
340,cupboard
341,them
342,toothbrush
343,cyclists
344,image
345,urinals
346,half
347,bottom
348,hands
349,skis
350,leash
351,dish
352,attached
353,shop
354,underneath
355,friends
356,meal
357,various
358,glasses
359,accessories
360,placed
361,air
362,dining
363,shelf
364,watches
365,stone
366,its
367,mail
368,roof
369,chairs
370,keyboard
371,men
372,chair
373,trash
374,mounted
375,plates
376,resting
377,living
378,cutting
379,suit
380,airplane
381,using
382,vegetables
383,toaster
384,counters
385,marble
386,slope
387,others
388,hill
389,metal
390,stools
391,jumping
392,prepare
393,basket
394,stall
395,day
396,looks
397,lane
398,country
399,rain
400,lid
401,right
402,horses
403,dimly
404,long
405,bunch
406,purple
407,another
408,busy
409,tennis
410,camera
411,cigarette
412,tops
413,coffee
414,made
415,ride
416,motor
417,motorcycles
418,shaving
419,umbrellas
420,like
421,dark
422,children
423,outdoor
424,knife
425,guys
426,bar
427,lined
428,making
429,along
430,garage
431,locked
432,fixtures
433,no
434,oranges
435,elephant
436,horse
437,floors
438,fence
439,high
440,sky
441,fruit
442,rack
443,kite
444,tree
445,close
446,flying
447,lap
448,new
449,television
450,costume
451,poses
452,utensils
453,used
454,desk
455,grazing
456,countertops
457,crowd
458,bright
459,clutter
460,center
461,screen
462,rider
463,personal
464,candle
465,shelves
466,colored
467,smiling
468,train
469,tables
470,wedding
471,pot
472,overhead
473,bottle
474,traffic
475,eating
476,remodeled
477,brick
478,beautiful
479,work
480,cook
481,filthy
482,someone
483,blender
484,wire
485,chefs
486,scooter
487,cooks
488,setting
489,crowded
490,covers
491,sun
492,flooring
493,broken
494,style
495,pictures
496,hair
497,paint
498,pedestrians
499,fireplace
500,paper
501,sunset
502,flowers
503,flower
504,commercial
505,transit
506,displayed
507,opening
508,checkered
509,boys
510,cluttered
511,birthday
512,dinner
513,girls
514,beneath
515,haired
516,him
517,cow
518,smoking
519,traveling
520,tall
521,covering
522,arranged
523,grey
524,lying
525,laundry
526,bikers
527,vase
528,shines
529,rug
530,but
531,line
532,gentleman
533,look
534,pedestal
535,containing
536,clear
537,pretty
538,bananas
539,serving
540,plate
541,tie
542,end
543,transportation
544,matching
545,racket
546,bicyclists
547,race
548,prepared
549,pier
550,dress
551,toliet
552,trees
553,skateboards
554,sliding
555,legs
556,can
557,takes
558,narrow
559,surfboards
560,beige
561,falling
562,machine
563,edge
564,boards
565,between
566,photographed
567,bucket
568,round
569,furniture
570,staring
571,who
572,closeup
573,steps
574,overlooking
575,have
576,watching
577,blow
578,accents
579,peppers
580,toiletries
581,gold
582,flat
583,where
584,missing
585,decker
586,going
587,cart
588,photos
589,furnished
590,commode
591,needs
592,himself
593,color
594,atop
595,hardwood
596,skier
597,use
598,cyclist
599,path
600,opens
601,candles
602,cup
603,workers
604,fully
605,swinging
606,winter
607,metallic
608,faucet
609,kid
610,tire
611,brightly
612,features
613,coat
614,owner
615,wash
616,kids
617,striped
618,rustic
619,single
620,tan
621,player
622,cattle
623,dirt
624,apartment
625,drinks
626,space
627,riders
628,nearby
629,cross
630,trail
631,selfie
632,ovens
633,animal
634,toy
635,river
636,buildings
637,plain
638,book
639,putting
640,wide
641,or
642,downtown
643,visible
644,mask
645,trying
646,during
647,lighted
648,getting
649,vehicles
650,design
651,dual
652,ice
653,cream
654,party
655,pile
656,reaches
657,industrial
658,moped
659,prepares
660,gloves
661,shiny
662,surface
663,piece
664,animals
665,time
666,pizza
667,pole
668,cleaning
669,painting
670,shaped
671,includes
672,closed
673,fan
674,washer
675,fluffy
676,urinal
677,tools
678,graffiti
679,""""
680,ingredients
681,sand
682,newly
683,ready
684,asleep
685,decorations
686,refrigerators
687,grassy
688,plane
